	adipocytes	alveolar cells type 1	alveolar cells type 2	astrocytes	b-cells	basal keratinocytes	basal prostatic cells	basal respiratory cells	basal squamous epithelial cells	bipolar cells	breast glandular cells	breast myoepithelial cells	cardiomyocytes	cholangiocytes	ciliated cells	club cells	collecting duct cells	cone photoreceptor cells	cytotrophoblasts	dendritic cells	distal enterocytes	distal tubular cells	ductal cells	early spermatids	endometrial stromal cells	endothelial cells	enteroendocrine cells	erythroid cells	excitatory neurons	exocrine glandular cells	extravillous trophoblasts	fibroblasts	gastric mucus-secreting cells	glandular and luminal cells	granulocytes	granulosa cells	hepatocytes	hofbauer cells	horizontal cells	inhibitory neurons	intestinal goblet cells	ionocytes	kupffer cells	langerhans cells	late spermatids	leydig cells	lymphatic endothelial cells	macrophages	melanocytes	mesothelial cells	microglial cells	mixed cell types	mixed immune cells	monocytes	mucus glandular cells	muller glia cells	neutrophils	nk-cells	oligodendrocyte precursor cells	oligodendrocytes	oocytes	ovarian stromal cells	pancreatic endocrine cells	paneth cells	peritubular cells	plasma cells	platelets	prostatic glandular cells	proximal enterocytes	proximal tubular cells	rod photoreceptor cells	salivary duct cells	schwann cells	secretory cells	serous glandular cells	sertoli cells	skeletal myocytes	smooth muscle cells	spermatocytes	spermatogonia	squamous epithelial cells	suprabasal keratinocytes	syncytiotrophoblasts	t-cells	thyroid glandular cells	undifferentiated cells
0	FABP4	SFTPB	FTL	TRAV8-4	CD74	S100A7	FOS	SLPI	KRT15	MT-ATP6	MGP	KRT14	COX7A1	TM4SF4	TAGLN	SCGB1A1	AQP2	PDE6H	PAGE4	TRAV8-4	KRT8	FXYD2	CFTR	PRM2	COL1A1	B2M	UGT2B17	AHSP	SATB2	CTRB2	FSTL3	DCN	CLDN18	WFDC2	HBA2	CLEC4M	APOC1	SPP1	PAX6	GAD2	AGR2	SCGB1A1	ALB	CD74	SPEM2	PRM2	TFPI	CD74	DCD	PRG4	NPVF	SEMG1	CD79A	FCER1A	MUC7	RLBP1	SRGN	MT-ND3	MS4A12	IL1RAPL1	MS4A12	TMSB10	REG1A	REG1A	DPEP1	ALB	NPVF	KLK3	GUCA2A	IL32	AHI1	KRT14	PLP1	CLU	STATH	PRM2	PPP1R27	SAA2	SPO11	ESX1	KRT4	SBSN	CYP19A1	B2M	VIM	SPINK1
1	RPS28	KRT7	SFTPB	TRAV29DV5	TG	KRT14	EGR1	CCL20	DST	MT-ND4	LALBA	TAGLN	MYH7	GC	CCL2	AGR2	FXYD4	TRAV26-1	VGLL1	MS4A12	TMSB10	DUSP9	KRTAP2-3	SHCBP1L	PAEP	HBA2	NKX2-2	HBA2	ANO3	CUZD1	IGFBP3	CFD	PGC	TMSB10	TPSB2	BEX1	CYP1A2	PAGE4	SRRM3	NXPH1	CLCA1	FTH1	TYROBP	HLA-DQB1	TSSK2	PTGDS	GNG11	MT1G	DCT	MS4A12	MS4A12	EEF1A1	PAEP	CSTA	SLPI	RGR	NAMPT	TYROBP	NPVF	NPVF	TRAV29DV5	MT-ND3	CTRB2	REG3A	MS4A12	IGHV3-73	TRAV29DV5	NPY	APOC3	FXYD2	RIMS2	TFCP2L1	CLEC7A	OVGP1	PRB3	TNP1	KRTAP13-4	SPRR3	TERB2	GAGE1	RHCG	S100A14	PGF	STATH	TRAV38-2DV8	TMSB10
2	RPL9	S100A10	FTH1	TRAV22	CD79A	KRT5	MT-ND3	JUNB	IL1R2	TRPM1	XBP1	ACTA2	TRAV38-2DV8	MS4A12	TPT1	OLFM4	PRSS33	MS4A12	KRT18	TRAV12-3	RPL28	PVALB	PRSS33	LRRC52	IGF1	CD74	SCT	TRAV10	POU6F2	MS4A12	NPVF	FCN2	ATP4B	PAEP	DCD	MS4A12	APOC3	NFKBIA	MS4A12	ZNF536	FAM3D	CCL20	C1QB	LYZ	OR2F1	PRPS2	PPFIBP1	FTL	MLANA	CALB2	TRAV38-2DV8	NNMT	RPL31	MT2A	CRISP3	TF	FTH1	RPL37	CPLX3	CPLX3	TRAV26-1	JUNB	SPINK1	LYZ	MOG	FGB	TRAV26-1	KLK4	SMIM24	CRYAB	KDM5B	MOG	MS4A12	WFDC2	HTN1	MS4A12	MS4A12	KRT4	MS4A12	PAGE1	KRT5	DSP	PSG2	IL7R	MT1E	SOX4
3	B2M	DSTN	SLPI	OR2F1	IGHG4	FABP5	SEMG2	KRT15	MS4A12	VSX2	BTN1A1	MYLK	MYH6	TRAV38-2DV8	CAPS	IGFBP5	TRAV12-3	TRAV8-4	IFI6	SLC18A3	SLC26A3	TMEM52B	FXYD2	SPACA1	IGFBP2	FGB	PCSK1N	DYTN	MCHR2	CPA4	TRAV26-1	FBLN1	REG3A	SFRP4	FTH1	TRAV19	SAA2	TYROBP	TRAV29DV5	ERBB4	SPINK4	SLPI	TMSB10	CST3	TRAV8-4	TNP1	RBP1	TMSB10	LCE1C	CPLX3	TRAV8-1	IGFBP5	CD69	RNF144B	SPP1	NPVF	DEFA4	RPL21	TRAV8-4	TRAV19	TRAV22	RBP1	ANXA2	CCL24	KRTAP13-4	B2M	PPBP	NKX3-1	RBP2	SLC6A18	MPP4	SLC18A3	TRAV26-1	MSLN	PRH2	TRAV29DV5	MOG	B2M	TRAV26-1	CTCFL	S100A14	RORA	MS4A12	MT1G	UGT2B11	MAGEB2
4	RBP7	GSTP1	TPT1	TRAV26-1	RPS3A	SPRR3	SEMG1	MT2A	IFITM3	NEUROD4	SFRP1	IGFBP2	TRAV29DV5	CPLX3	ACTA2	MT1X	TRAV29DV5	APOL5	ANXA1	TRAV19	C15orf48	KNG1	TRAV26-1	TNP1	SCGB1D2	IFITM3	UCN3	PRSS57	OLFM3	TRAV38-2DV8	MOG	TIMP1	KCNE2	NPAS3	CLC	CEACAM7	TRAV29DV5	HBA2	TRAV12-3	GRIK1	ZG16	SAA2	FTL	FCER1A	PRSS33	CFD	FABP5	PRM2	PLP1	C4B	TRAV26-1	TPT1	FOS	TIFAB	FDCSP	SLN	ACTB	RPS3A	TRAV29DV5	TRAV29DV5	TRAV38-2DV8	VIM	TAGLN	HEPACAM2	TRAV29DV5	IGKV2D-40	CPLX3	MS4A12	DPEP1	MIOX	EPB41L2	TRAV8-4	RNF144B	IFITM3	MGP	TBX22	TRAV19	TAGLN	KRTAP13-4	CT45A10	CLCA4	PERP	TRAV29DV5	PAEP	CTSB	HBE1
5	RPL18A	MGLL	SFTPA1	KRTAP13-4	RPL21	MT-ATP6	SLPI	DST	ANXA1	VSX1	UGT2B11	MYL9	CMYA5	TRAV26-1	SCGB2A1	NMUR2	RLBP1	TRAV19	SLX1B	TRAV29DV5	TRPM5	LDHB	TRAV19	OR4M1	REV3L	FAM9C	APOA4	RNASE3	SEC14L5	TRAV8-4	TRAV8-4	LGALS1	VSIG2	MSX1	RPL21	KRTAP13-4	TRAV8-4	CD52	OR2A25	RAB3C	MT1G	CXCL1	MT-ND3	LGALS2	TRAV38-2DV8	TRAV29DV5	EMP1	TYROBP	KRT14	IL24	KIR3DL1	BEST4	GZMK	TUBA1B	WFDC2	WIF1	CEACAM8	JUND	TRAV26-1	TRAV22	CEACAM7	DCN	MS4A12	LEFTY1	TRAV26-1	SAA2	MS4A12	TRAV26-1	SLC7A9	FTL	CADM2	KRTAP13-4	TRAV8-4	CD74	SLPI	TRAV22	TRAV26-1	RGS5	RLBP1	PAGE2	SLX1B	SLPI	TRAV8-1	HTN1	TRAV29DV5	SLC12A2
6	CD36	TIMP3	LGALS3	TRAV12-3	CRIP1	CSTA	ANXA1	EFEMP1	C19orf33	CADPS	RPL35	TPM2	CEACAM7	TRAV29DV5	HSP90AA1	WFDC2	TRAV26-1	TRAV29DV5	PPY	CPLX3	S100A10	FOLR3	RNASE7	GLIPR1L1	RND3	MGP	KLF1	MS4A12	CADPS2	TRAV26-1	TRAV38-2DV8	GABRP	ANXA10	MT-ND3	TPSAB1	HOXC5	APOA2	BCL2A1	TRAV8-4	ELAVL2	PRSS33	MT-CO2	SAA2	IL1B	TRAV12-3	MS4A12	CLDN5	CST3	TYRP1	NPVF	KRTAP13-4	SERTM2	RPS20	CEACAM7	KRT7	PDE6G	FTL	MT-ATP6	MBD3L3	FRMD5	TRAV8-1	RPL31	KRTAP13-4	ATP4B	KIR3DL1	DERL3	MYF5	HOXB13	TRAV29DV5	MT1G	MS4A12	OR52A1	TRAV19	CRISP3	CFD	BSPH1	PRSS33	LGALS1	TEX101	TSPY2	FABP5	KRT4	MATN1	NKG7	KRTAP13-4	REG1A
7	LALBA	PRSS33	VIM	SLC18A3	HLA-DQB1	PDZK1IP1	MT-CO2	LGALS1	NPVF	NRL	POTEE	CSRP1	KRTAP13-4	PMCH	CLU	BPIFB1	MBD3L3	CD5L	PRSS33	TRAV38-2DV8	SPINK5	MS4A12	TRAV38-2DV8	ZPBP	CD81	TG	SCGN	TRAV12-1	SH3GL2	REG1A	TRAV29DV5	NKX2-3	TFF2	ANXA1	MS4A12	TRAV8-4	MS4A12	ACTB	TRAV26-1	RIMBP2	TRAV38-2DV8	HEPACAM2	RPL21	TYROBP	TRAV29DV5	NPVF	TRAV29DV5	SEMG1	TRAV29DV5	TRAV26-1	HMX1	ADGRG4	AHSP	RPL21	STATH	PTGDS	AMY1A	SRGN	TRAV22	TRAV12-3	TRAV8-4	IGFBP5	KRT8	GUCA2A	TRAV8-4	XBP1	KIR3DL1	MOG	NPVF	PDZK1IP1	MOG	TRAV38-2DV8	TRAV8-1	MS4A12	WFDC2	TRAV10	TRAV8-4	ACTA2	MOG	PRM2	KRT15	RNF144B	TRAV26-1	CFD	CST3	FABP5
8	FBLN2	ANXA2	C1QB	TRAV19	STATH	TRAV29DV5	KLF6	SCGB1A1	CEACAM7	DST	RPL3	MS4A12	MS4A12	FXYD2	KRTAP1-1	GSTP1	BSPH1	CEACAM7	TMSB10	NPVF	SLC18A3	TRAV19	OTOL1	TRAV19	PTN	SEMG1	TRAV38-2DV8	MPIG6B	NDST3	PRSS33	PGF	GSN	TRAV29DV5	MDK	HPGD	MOG	TRAV26-1	FTL	KRTAP13-4	SYNPR	HASPIN	RPL34	MT-ND4	LPAR6	ACTRT2	CPLX3	S100A10	C1QB	TRAV19	TRAV29DV5	TRAV8-4	LYZ	ZG16	TRAV8-4	GPM6A	SPP1	WFDC2	ZBTB16	TRAV19	TRAV8-4	SLC18A3	NR4A1	GAPDH	FOXD4L1	NPVF	TSC22D3	TRAV38-2DV8	TRAV19	APOA4	MT1F	MYO9A	OR2A25	TRAV38-2DV8	ID4	CD5L	CENPVL3	TRAV22	ALB	TRAV19	MS4A12	RGR	LYPD3	TRAV19	GAPDHS	KRT73	LMNA
9	RPL3	TPSD1	MUC1	MS4A12	RHAG	GSTP1	MT-ND6	HES1	SLC18A3	GRM6	MGST1	ANXA1	FGF7	NPVF	CCDC17	ATP4B	MS4A12	TRAV38-2DV8	NPVF	TRAV26-1	KRT18	CYSTM1	NPVF	TRAV29DV5	SCGB1D4	SELE	AVPR1B	CA2	FSTL4	TRAV29DV5	MS4A12	FTL	OR2A25	LGALS1	JUND	TRAV29DV5	CEACAM7	LYVE1	SYT1	PLD5	TRAV22	FMO2	ACTB	HSPB1	NPVF	TRAV38-2DV8	IGHV1-69	VCAN	MBD3L3	RGR	OTOL1	GUCA2B	SRGN	MS4A12	KRTAP3-1	FRZB	ALOX5AP	CAPG	SLC18A3	OR2F1	TRAV12-3	TCF15	NR0B1	TRAV19	TRAV22	AREG	TRAV19	TRAV8-4	FOXH1	SLC22A6	KRTAP13-4	OR2G6	CEACAM7	SLPI	S100A7	PPEF2	MYLK2	VIM	TRBV5-4	TRAV29DV5	TRAV26-1	SPRR1B	UCMA	RPS19	KIR3DL1	RARRES2
